,Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits,Tags,Summary,Date_published
123,Lights In The Sky,albinokittens300,22050655,31 Dec 2019,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,598",2,4,50,2,788,"Creator Chose Not To Use Archive Warnings, Tina Goldstein/Newt Scamander, Newt Scamander, Tina Goldstein, Jacob Kowalski, others mentioned - Character, New Years, Fireworks, Fluff, Hurt/Comfort Mentoned","\n      Newt follows Tina, and they end up having their own New Years celebration. (Written for the 2019 Newtina Gift Exchange)\n",2019-12-31
124,The First Time,Jencala,22056037,31 Dec 2019,Explicit,M/M,No Archive Warnings Apply,Complete Work,English,"2,051",1,24,58,2,869,"No Archive Warnings Apply, Caradoc Dearborn/Benjy Fenwick, Benjy Fenwick, Caradoc Dearborn, Gay Sex, Fluff and Smut, Anal Sex, Anal Fingering, Sweet/Hot, Gay Male Character, Marauders Era (Harry Potter)","\n      \xe2\x80\x9cNot exactly how I expected to wake up, but I don\xe2\x80\x99t mind.\xe2\x80\x9d  \n\xe2\x80\x9cOh really?\xe2\x80\x9d Benjy teased, releasing the owl and shifting further to move closer to Caradoc, \xe2\x80\x9cAnd how exactly did you expect to wake up?\xe2\x80\x9d\nCaradoc shrugged, grinning slyly, as he pulled Benjy closer to lay half on top of him, \xe2\x80\x9cOh I don\xe2\x80\x99t know, a gorgeous naked man in my bed, I could think of a few things.\n",2019-12-31
125,A Yule to Remember,annacec,21953557,31 Dec 2019,Mature,F/F,No Archive Warnings Apply,Complete Work,English,"5,010",3,40,880,80,8239,"No Archive Warnings Apply, Hermione Granger/Andromeda Black Tonks, Hermione Granger/Narcissa Black Malfoy, Hermione Granger/Bellatrix Black Lestrange, Draco Malfoy, Alternate Universe, No war, Fake/Pretend Relationship, Trope city, Yule Ball, Hat Trick, Discord: Bellamione Cult, Bellamione Cult Secret Santa 2019","\n      When Hermione agrees to pretend to date her ministry coworker and friend Draco Malfoy to fool his family at their annual Yule Ball, she expects a bit of questioning, some judgmental looks, and plenty of family drama. What she doesn\'t expect is the magnetism of the Black Sisters, and soon finds herself in well over her head.\n",2019-12-25
126,Best Laid Plans,orpheous87,22055911,31 Dec 2019,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,634,1,7,119,9,1313,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Original Cat Character(s), Domestic Fluff, Drarropoly 2.0 - A Drarry Game/Fest, Love Confessions, Fluff and Hurt/Comfort",\n      Draco trips over his cat and breaks an ankle. Cue Harry to the rescue.\n,2019-12-31
127,Tinsel Tidings,InvisbleDragon,22055902,31 Dec 2019,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"1,286",1,1,46,3,929,"No Archive Warnings Apply, Sirius Black/Remus Lupin, Sirius Black, Remus Lupin, Fluff, Getting Together, oblivious idiots, Pining Idiots, Mutual Pining, Happy Ending, Christmas, Christmas Fluff, Christmas Party, Christmas Music, Jewish Remus Lupin, Jewish Character, LGBTQ Jewish Character(s), LGBTQ Character, Werewolf Remus Lupin, POV Remus Lupin, Gift Fic, Gift Exchange, Tumblr: tumblrsecretsanta, Full Moon, Marauders Era (Harry Potter), Marauders Friendship (Harry Potter), The Marauder's Map, Sirius Black & James Potter Friendship, Sirius Black & James Potter are Brothers, Sad Sirius Black, Walburga Black's A+ Parenting, Veritaserum","\n      Christmas time at a magical school located somewhere in Scotland 1977. Two boys with fates entwined. One with a dark history, one that is marred. Love can find a place to grow.\n",2019-12-31
128,Last Minutes,siobhrag,22055893,31 Dec 2019,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,320,1,3,85,6,823,"No Archive Warnings Apply, Harry Potter/Severus Snape, Harry Potter, Severus Snape, Established Relationship, New Year's Eve, Wordcount: 100-500",\n      Harry\'s waiting for Severus on the New Year\'s Eve.\n,2019-12-31
129,Rarities,bluhawk,22055815,31 Dec 2019,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,160",1,2,19,1,438,"Creator Chose Not To Use Archive Warnings, Lucius Malfoy/Arthur Weasley, Arthur Weasley/Molly Weasley, Arthur Weasley, Lucius Malfoy, OOC, Angst, Drabble, Not Canon Compliant, Not Beta Read, i am soft, Implied/Referenced Homophobia","\n      There was joy, and there was sadness.There was pride, and there was guilt.There was love, and there was loss.One-shot\n",2019-12-31
130,Right In Front of Me,DaronwyK,22055716,31 Dec 2019,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,652",1,13,261,24,2863,"No Archive Warnings Apply, Hermione Granger/Severus Snape, Hermione Granger, Severus Snape, Friends to Lovers, Christmas Fluff, Mistletoe","\n      Sometimes, the greatest loves are the ones right in front of us.\n",2019-12-31
131,Draco Malfoy versus Cats,Ladderofyears,22054879,31 Dec 2019,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,100,1,3,89,0,1066,"Creator Chose Not To Use Archive Warnings, Draco Malfoy/Harry Potter, Cats (2019) - Freeform, Harry enjoys musicals, Draco hates musicals, Memory Alteration",\n      Harry takes Draco to see Cats at the cinema.\n,2019-12-31
132,A New Year\'s Eve Confession,MagicGirlinAMuggleWorld,22054900,31 Dec 2019,General Audiences,"F/M, Gen",No Archive Warnings Apply,Complete Work,English,"2,715",1,30,120,14,1354,"No Archive Warnings Apply, James Potter/Lily Evans Potter, James Potter, Sirius Black, Remus Lupin, Peter Pettigrew, Dorcas Meadowes, Marlene McKinnon, OC - Phoebe Abbott, Fluff, Banter, Jily Challenge, Canon Universe, Background Relationships, dorlene, Friendship, Crushes, Marauders",\n      Silly fluffy one-shot. Marauders-era Hogwarts students attend a New Year\'s Eve party and James learns that maybe this is the year he\'ll have a shot with Lily Evans.\n,2019-12-31
133,Hogmanay,aslytherspuff,22054753,31 Dec 2019,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"1,680",1,10,214,12,3210,"No Archive Warnings Apply, Dean Thomas/Ron Weasley, Dean Thomas, Ron Weasley, Harry Potter, Hermione Granger, New Year's Eve, Implied/Referenced Homophobia, Coming Out, New Year's Kiss, Hogmanay, Tooth-Rotting Fluff, Book 4: Harry Potter and the Goblet of Fire, Light Angst, First Kiss, Fluff, Not Canon Compliant","\n      NEW YEAR\'S EVE, DECEMBER 1994Ron\'s first kiss isn\'t who he wants or expects it to be, but he\'s okay with that.A one-shot extra scene set during The Goblet of Fire / chapter four of Wish Fulfillment.Can be read and understood as a stand alone one-shot without reading the main work (but the main work is awesome and you should read it).\n",2019-12-31
134,Catnapped,MotherBooker,22054528,31 Dec 2019,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,271,1,4,191,7,1800,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Established Relationship, Fluff, Humor, Animagus, Harry steals a cat, Drarry Discord Writers Corner Drabble Challenge",\n      Harry cuddles the wrong cat. Draco isn\'t too impressed\n,2019-12-31
135,Nuit Blanche (Sleepless Night),Erieene (Harrypotter),10984926,31 Dec 2019,Teen And Up Audiences,No category,No Archive Warnings Apply,Work in Progress,English,"7,844",2,8,89,27,1285,"No Archive Warnings Apply, Harry Potter, Hermione Granger, Ron Weasley, Tom Riddle | Voldemort, Neville Longbottom, Fred Weasley, George Weasley, Luna Lovegood, Ginny Weasley, Alternate Universe - Canon Divergence, Independent Harry, Morally Grey Harry Potter, Ministry Bashing","\n      Harry James Potter was known as the Boy-Who-Lived, the Golden Gryffindor, the Chosen One. These titles were all given to him by the public, yet the world didn\xe2\x80\x99t know the darker side of their Saviour. After all being in an environment of perpetual hatred changes a person. Welcome to the Academy of Night.\n",2017-05-24
136,To Thine Own Self Be True,This_is_your_Heichou_speaking,22054411,31 Dec 2019,Explicit,M/M,Underage,Complete Work,English,"7,902",1,61,1902,357,39566,"Underage, Harry Potter/Harry Potter, Harry Potter, Selfcest, Alpha/Beta/Omega Dynamics, Omega Harry Potter, Alpha Harrison Black, Teacher-Student Relationship, Daddy Kink, Vaginal Sex, Oral Sex, Vaginal Fingering, mention of breeding kink, Bottom Harry Potter, Intersex Harry Potter, Top Harrison Black","\n      Harry finds himself out of time, in a world not quite his own.\n",2019-12-31
137,Pumpkins & Proposals,Jenniffler7,22054315,31 Dec 2019,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,531,1,8,35,3,479,"No Archive Warnings Apply, Hermione Granger/Ron Weasley, Hermione Granger & Ron Weasley, Hermione Granger, Ron Weasley, Crookshanks (Harry Potter), Fluff, Marriage Proposal, Halloween",\n      Ron and Hermione have a pumpkin carving competition. It doesn\'t end quite how Hermione had expected.\n,2019-12-31
138,Up on the Rooftop,BeeDaily,22054063,31 Dec 2019,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,374",1,41,553,79,4820,"No Archive Warnings Apply, James Potter/Lily Evans Potter, James Potter, Lily Evans Potter, Fluff, Drabble, New Year's Eve, Fluff and Humor, Humor",\n      James and Lily close out 1977 on the Hogwarts rooftop.\n,2019-12-31
139,(Don\'t) save me,Nox_Moon,22053592,31 Dec 2019,Not Rated,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,"3,763",1,10,41,10,979,"Creator Chose Not To Use Archive Warnings, Sirius Black/Harry Potter, (Main), Harry Potter/Tom Riddle, Harry Potter, Sirius Black, Tom Riddle, Ron Weasley, Hermione Granger, Neville Longbottom, Luna Lovegood, Marlene McKinnon, Remus Lupin, Alternate Universe - Muggle, Abusive Relationships, Emotional Hurt/Comfort","\n      Sirius Black, a self-proclaimed bachelor and lover of life, is mostly known for his long history of breaking hearts. Maybe it\'s time for him to mend one.\n",2019-12-31
140,The Balcony,businessirius (orphan_account),20969675,31 Dec 2019,Mature,M/M,No Archive Warnings Apply,Complete Work,English,"27,858",11,23,42,9,1371,"No Archive Warnings Apply, Sirius Black/Remus Lupin, Hogwarts Sixth Year, Marauders Era (Harry Potter), First War with Voldemort, Mutual Pining, Fluff and Angst, POV Alternating, Friends to Lovers","\n      Remus and Sirius loving each other, even when the loving hurts, soundtracked by Catfish and the Bottlemen\'s record \'The Balcony\'\n",2019-10-09
141,Remus\xe2\x80\x99 difficult road to confidence,halloStern,22053928,31 Dec 2019,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,312",1,0,27,0,590,"Creator Chose Not To Use Archive Warnings, Sirius Black/Remus Lupin, James Potter, Peter Pettigrew, Lily Evans Potter, Angst with a Happy Ending, Depression, Anxiety, Not Canon Compliant, Self Confidence Issues, Ambiguous/Open Ending","\n      Remus\xe2\x80\x99 confidence was not always there, he had to work hard for it. As a consequence, he did not think that he would ever be in a relationship. Firstly because of his lycanthropy then because of his depression and anxiety.\n",2019-12-31
142,Tasahul - Part One.Five,EmeraldFalcon,21298646,31 Dec 2019,Not Rated,"M/M, Other",Choose Not To Use Archive Warnings,Complete Work,English,"6,307",3,12,331,60,4959,"Creator Chose Not To Use Archive Warnings, Harry Potter/Sanguini (Sire/Childe), Harry Potter/OMC, Harry Potter, Sanguini (Harry Potter), OMC, Teddy Lupin",\n      Mini Story for Hurriyah\n,2019-11-03
143,Letters to No One,Nimrodel_Undomiel,22053391,31 Dec 2019,General Audiences,F/M,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Complete Work,English,"1,927",1,0,12,0,272,"Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply, Harry Potter/Ginny Weasley, Ginny Weasley, Harry Potter, Angst with a Happy Ending, Letters, Love",\n      Ginny\'s 15 most important letters to Harry.\n,2019-12-31
144,Could you hold me? Just for tonight,AinhoaGCH,21162803,31 Dec 2019,Mature,F/M,"Graphic Depictions Of Violence, Rape/Non-Con",Work in Progress,English,"51,637",14,3,12,3,881,"Graphic Depictions Of Violence, Rape/Non-Con, Cornelius Fudge/Dolores Umbridge, Poppy Pomfrey/Severus Snape, Petunia Evans Dursley/Severus Snape, Alastor ""Mad-Eye"" Moody/Poppy Pomfrey, Dolores Umbridge, Cornelius Fudge, Poppy Pomfrey, Severus Snape, Albus Dumbledore, Minerva McGonagall, Alastor ""Mad-Eye"" Moody, Petunia Evans Dursley, Pregnancy, Kidnapping, Torture, Sex","\n      Unexpectedly Dolores has been brought back to Hogwarts, plans for a course of action against the Ministry roaming the corridors, meanwhile in the Hospital wing Madam Pomfrey must face what\xe2\x80\x99s best for her and the future of her students. Must she bring herself to reject the love of her life in favour of that mysterious Potion\xe2\x80\x99s Master? All in all Severus\xe2\x80\x99 old love is saved from her abusive husband, changing everyone\xe2\x80\x99s life, including Harry Potter\xe2\x80\x99s.\n",2019-10-24
145,A Second Chance,Rei382,22053205,31 Dec 2019,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"1,639",1,16,84,4,1096,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Harry Potter, Draco Malfoy, coffee shop AU, Angst",\n      Life circumstances brought Draco to work at a coffee shop to make a living. Life circumstances brought Harry to walk into that coffee shop and offer a new start.\n,2019-12-31
146,you and me (from the night before),kantele,22053040,31 Dec 2019,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,664,1,11,111,4,1022,"No Archive Warnings Apply, Albus Dumbledore/Gellert Grindelwald, Albus Dumbledore, Gellert Grindelwald, New Year's Eve, New Year's Kiss, Costume Parties & Masquerades, Tumblr Prompt, Prompt Fill",\n      Prompts:kissing at a partya bet\n,2019-12-31
147,Cocoa and Notes,mysteriousphoenix,22052908,31 Dec 2019,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"2,104",1,4,92,2,1022,"No Archive Warnings Apply, Tina Goldstein/Newt Scamander, Tina Goldstein & Newt Scamander, Tina Goldstein, Newt Scamander, Queenie Goldstein, Newtinagiftexchange, newtina, Missing Scene, Friendship, Male-Female Friendship, Queenie knows things, The beginning of something awesome","\n      Newt and Tina share cocoa and conversation two days after the capture of Grindelwald. A missing moment from Fantastic Beasts and Where to Find Them, written for Albinokittens300. Happy Holidays!Newtina Gift Exchange 2019Part of the ""More Than Enough"" ficverse\n",2019-12-31
148,Midnight Kiss,gracerene,21812611,31 Dec 2019,Mature,F/F,No Archive Warnings Apply,Complete Work,English,"2,184",1,20,112,16,1531,"No Archive Warnings Apply, Pansy Parkinson/Ginny Weasley, Ginny Weasley, Pansy Parkinson, Harry Potter Epilogue What Epilogue | EWE, Post-Second War with Voldemort, Post-Hogwarts, Quidditch Player Ginny Weasley, Reporter Pansy Parkinson, New Year's Eve, balls, Games, Sexual Tension, Enemies to Lovers, Semi-Public Sex, Implied Sexual Content, Casual Sex, HP Femslash MiniFest","\n      They\'ve been playing this game for years, but Ginny has a feeling the rules are starting to change.\n",2019-12-31
149,stairways lead to nothing,orphan_account,22052827,31 Dec 2019,General Audiences,"F/M, M/M, Multi, Other",No Archive Warnings Apply,Complete Work,English,"1,262",1,11,193,16,1334,"No Archive Warnings Apply, Hermione Granger/Harry Potter/Ron Weasley, Seamus Finnigan/Dean Thomas, Hermione Granger, Harry Potter, Ron Weasley, DEANMUS ARE ONLY MENTIONED LUVVV, but theyre dayting, Fluff, Romantic Fluff, omg this might actually be the softest thing ive ever written, new years gift baybeee, morons to lovers, Ron Weasley Is Smart, FUCK YOU YES HE IS, POV Hermione Granger, Black Hermione Granger, Indian Harry Potter, its not mentioned or relevant but it IS factual, Ambiguous Age, i mean idk where in the timeline this is supposed to be set, definitely during hogwarts years tho, Ron Weasley Has ADHD, which is also barely there but represent baby!!!","\n      Their hands would brush against eachother and their bodies would gravitate towards eachother and the only future they could see would rest in eachother\xe2\x80\x99s heartbeats. Eachother, eachother, eachother; in this climate, it was all they really had to hold on to.\n",2019-12-31
150,[Podfic] Mistletoe Mischief Managed by writcraft,PurpleDarkness,22051543,31 Dec 2019,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,37,1,6,23,1,512,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Podfic & Podficced Works, Podfic Length: 20-30 Minutes",\n      A podfic of Mistletoe Mischief Managed by writcraft.Author\'s Summary: Harry is training to be an Auror and trying not to get distracted by Draco Malfoy and that pesky mistletoe that always seems to appear whenever they\xe2\x80\x99re in the same room together.\n,2019-12-31
151,Rose Evans and the Prophet,LadyTeaCups,21901420,31 Dec 2019,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"3,623",3,1,11,1,181,"Creator Chose Not To Use Archive Warnings, Remus Lupin/Original Female Character(s), Remus Lupin, Harry Potter, Albus Dumbledore, Severus Snape, Ron Weasley, Molly Weasley, Arthur Weasley, Hermione Granger, Alastor ""Mad-Eye"" Moody, Sirius Black, Minerva McGonagall, Draco Malfoy, Fred Weasley, George Weasley, Lily Evans Potter, Petunia Evans Dursley, Dudley Dursley, Vernon Dursley, remus lupin - Freeform, remus lupin x original female character - Freeform","\n      The chosen one needs a guide. Someone to show him the correct path. Rose, a seer and the younger sister of Petunia and Lily Evans, who was sent away shortly after showing signs of strange abilities, returns on Dumbledore\'s orders. Harry finds the girl claiming to be his aunt oddly happy, and she dresses weird, but when she gives him that look of joy, he sees his mother in her eyes. Rose\'s influence will determine the outcome of the inevitable war. Rose fully intends to fulfill the prophecy, even the part about her gift driving her mad. The problem comes in the form of a new defense against the dark arts professor, and Rose is distracted enough to make a fatal mistake.\n",2019-12-22
152,Knotted Hearts,januarywren,20330611,31 Dec 2019,Explicit,"F/M, Multi",No Archive Warnings Apply,Complete Work,English,"13,473",2,44,318,66,9010,"No Archive Warnings Apply, Hermione Granger/Theodore Nott, Hermione Granger/Severus Snape, Hermione Granger & Theodore Nott, Hermione Granger & Severus Snape, Hermione Granger/Theodore Nott/Severus Snape, Severus Snape, Theodore Nott, Hermione Granger, Marriage Law Challenge, Smut, Fluff, Emotional Hurt/Comfort, Alternate Universe - Canon Divergence, Possessive Behavior, Adult Hermione Granger, Good Theodore Nott, Bittersweet, Romance, Severus Snape Lives, Infidelity, Threesome - F/M/M, POV Theodore Nott, Hermione Granger-centric, Submissive Hermione Granger, Emotional/Psychological Abuse, Healing, Miscarriage, Angst and Hurt/Comfort, Sub Severus Snape, POV Severus Snape, POV Hermione Granger, POV Alternating, Angst with a Happy Ending, No Slash, Double Penetration, Multiple Partners, Everything is Beautiful and Everything Hurts, Harry Potter Epilogue What Epilogue | EWE","\n      Every morning, Theo would take the elevator seven floors up to her floor. He brought coffee and gossip, and after seeing her gaunt form, he brought her a buttered scone or plain donut with honey drizzled on top too. He\xe2\x80\x99d watch as he teased her; making his gossip more and more outrageous, before she laughed and reluctantly picked at her treat, hiding most of it in a crumb ridden napkin. She wouldn\'t let him take her to lunch or dinner or meet him at the caf\xc3\xa9 where he bought her coffee every day. He didn\xe2\x80\x99t miss the fact that she avoided touching him; her fingers brushing against his only once, before her cheeks turned pink and she turned away abruptly. \xe2\x80\x9cThings are different now,\xe2\x80\x9d She told him gently. \xe2\x80\x9cYes,\xe2\x80\x9d He agreed. \xe2\x80\x9cWe\xe2\x80\x99re both happily married, and in need of a friend.\xe2\x80\x9d\xe2\x80\x9cMalfoy isn\xe2\x80\x99t enough for you?\xe2\x80\x9d She said, in a haughty tone; one that she used when she was teasing. \xe2\x80\x9cOr Zabini or Parkinson?\xe2\x80\x9d \xe2\x80\x9cAh, so you do keep track of me.\xe2\x80\x9d Marriage Law AU | Theo let Hermione go once, and doesn\'t intend to again.\n",2019-08-21
153,Playing With Fire,everlovingdeer,22052032,31 Dec 2019,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"7,020",2,3,125,7,3067,"No Archive Warnings Apply, Seamus Finnigan/Original Female Character(s), Seamus Finnigan/Reader, Seamus Finnigan, Original Female Character(s), Tutoring, Established Relationship, Background Relationships, Break Up, Amortentia, One-Sided Attraction, Secret Crush","\n      \xe2\x80\x9cI hope you\xe2\x80\x99re happy.\xe2\x80\x9d\xe2\x80\x9cHappy?\xe2\x80\x9d I repeated with a frown. \xe2\x80\x9cHappy that because of you my grades fell again.\xe2\x80\x9d\xe2\x80\x9cThey fell!\xe2\x80\x9d I exclaimed in disbelief, looking at him for a long moment. \xe2\x80\x9cHow in Merlin\xe2\x80\x99s name did they fall? You were doing so well.\xe2\x80\x9d\xe2\x80\x9cDon\xe2\x80\x99t blame it on me,\xe2\x80\x9d he protested, crossing his arms defensively over his chest. \xe2\x80\x9cThis is all because your replacement is an absolutely shit tutor.\xe2\x80\x9d\n",2019-12-31
154,Magical Emporium,enchanted_nightingale,22051993,01 Jan 2020,General Audiences,No category,Choose Not To Use Archive Warnings,Work in Progress,English,"2,407",1,10,197,65,1845,"Creator Chose Not To Use Archive Warnings, Harry Potter, Original Characters, Dursley Family (Harry Potter), Magical building, magical shop, Alternate Universe - Harry Potter Setting, Harry Potter was Raised by Other(s), Magic, Magical Artifacts, Magical Toys, toymaker Harry Potter",\n      A seven year old Harry stumbles into a shop unlike anything he has seen before.\n,2019-12-31
155,The Evans Heiress,FalconHonour,22051960,31 Dec 2019,General Audiences,Gen,Choose Not To Use Archive Warnings,Complete Work,English,"1,722",1,7,294,15,4741,"Creator Chose Not To Use Archive Warnings, Lily Evans Potter, Pureblood Lily Evans Potter, Pureblood Society (Harry Potter), Pureblood Culture (Harry Potter), Pureblood Politics (Harry Potter), Alternate Universe",\n      The Heirs and Heiresses of the Sacred Twenty-Eight are always presented to the Wizengamot at the Summer or Winter Solstice immediately following their thirteenth birthday. Lady Lilyanna Helena Evans is no exception.\n,2019-12-31
156,When You Finally Notice,everlovingdeer,22051879,31 Dec 2019,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"8,068",2,2,88,5,2382,"No Archive Warnings Apply, Justin Finch-Fletchley/Reader, Justin Finch-Fletchely/ Original Female Character, Justin Finch-Fletchley, Original Female Character(s), Fluff and Angst, Friends to Lovers, Matchmaking, Frustration, Break Up, One-Sided Attraction, Pining","\n      Drawing me into his side, Zacharias spoke aloud, \xe2\x80\x9cDon\xe2\x80\x99t you just hate the sorts of people that give and give until there\xe2\x80\x99s nothing left for them to give? Or are the people that ask for things from those sorts of people worse? I can never decide.\xe2\x80\x9d\n",2019-12-31
157,"Happy New Year, Potter!",CoffeeDragon87,22051861,31 Dec 2019,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"1,002",1,18,120,11,1351,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, New Year's Eve, New Year's Kiss, Drabble, Ambiguous/Open Ending, Secret Relationship, shaking things up, 2020","\n      It\xe2\x80\x99s New Year\xe2\x80\x99s Eve and Draco is ready for a change, or isn\xe2\x80\x99t he?\n",2019-12-31
158,This Heart Shut Wide,xanthippe74,22051603,31 Dec 2019,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"4,654",1,48,1231,144,9052,"No Archive Warnings Apply, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Hogwarts Eighth Year, Secret Relationship, New Year's Eve, Drinking, brief angst, Misunderstandings, Happy Ending, POV Draco Malfoy","\n      It\xe2\x80\x99s New Year\xe2\x80\x99s Eve and Draco refuses to talk to anyone at this wretched party in the Eighth-Year common room. He\xe2\x80\x99s going to ignore Harry Potter and not think about snogging him in the staircase earlier. And he\xe2\x80\x99s definitely not going to let himself fuck up both their lives by continuing the reckless game they\xe2\x80\x99re playing.As usual, nothing goes according to Draco\xe2\x80\x99s plan.\n",2019-12-31
159,Baby Names,IckleRonnikens,22051783,31 Dec 2019,Not Rated,F/M,Choose Not To Use Archive Warnings,Complete Work,English,649,1,2,17,0,465,"Creator Chose Not To Use Archive Warnings, Harry Potter/Ginny Weasley, Harry Potter, Ginny Weasley, Post-War, Harry and Ginny Discord's Prompt Posse",\n      Harry Potter and Ginny Weasley are asked about the naming of their second son.\n,2019-12-31
160,\'A Peculiar Engagement\',Headcanonsandmore,17158193,31 Dec 2019,Mature,F/M,No Archive Warnings Apply,Complete Work,English,"64,745",10,66,222,42,6789,"No Archive Warnings Apply, Hermione Granger/Ron Weasley, Hermione Granger & Ron Weasley, Hermione Granger, Ron Weasley, Harry Potter, Muriel (Harry Potter), Luna Lovegood, Ginny Weasley, romione, Mutual Pining, Crushes, Secret Crush, And they were room-mates, Sharing a Room, Sharing a Bed, Fake/Pretend Relationship, Cuddling & Snuggling, They both think the other doesn't fancy them back, But they actually do!, Ron Weasley is a Good Friend, Harry Potter & Ron Weasley Friendship, Ron Weasley apprecation, Alternate Universe - Arranged Marriage, Arranged Marriage, Engagement, Massage, Carrying, Mistletoe, Kissing, Rough Kissing, Minor Harry Potter/Ginny Weasley, The Golden Trio","\n      In a universe where Ron and Hermione never managed to express their feelings, the golden trio are currently living as room-mates. However, after Harry leaves to start teaching at Hogwarts, Hermione finds herself living alone with the man she has loved since the age of twelve. To complicate matters; a sudden engagement, night terrors, and bed-sharing enter the picture. (Was rated Teen, but then chapter five happened).\n",2018-12-25
161,"Merry and Bright, Changed but All Right",RoonilWazlibMalfoy,22051720,31 Dec 2019,General Audiences,"F/F, M/M",No Archive Warnings Apply,Complete Work,English,"1,404",1,2,91,8,932,"No Archive Warnings Apply, Harry Potter/Severus Snape, Luna Lovegood/Ginny Weasley, Harry Potter, Severus Snape, Ginny Weasley, Luna Lovegood, Albus Severus Potter, James Sirius Potter, Lily Luna Potter, Weasley Family (Harry Potter), Christmas, Post-Divorce, Family Bonding, Slice of Life","\n      A slice of life Christmas story where there\'s nothing to worry about, but Harry is worried anyway.\n",2019-12-31
162,The Teddy Bear,DevonShea,22050979,31 Dec 2019,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,618,1,0,45,1,568,"No Archive Warnings Apply, Teddy Lupin & Harry Potter, Teddy Lupin & George Weasley, Teddy Lupin, Harry Potter, George Weasley, Ginny Weasley, Christmas Fluff, Muggle Technology, Toys",\n      Harry has a gift for Teddy.\n,2019-12-31
163,The Problem of Afterlife,Kat_o_nine_Tails,22050733,31 Dec 2019,General Audiences,F/M,No Archive Warnings Apply,Work in Progress,English,"2,361",1,26,251,28,3510,"No Archive Warnings Apply, James Potter/Lily Evans Potter, James Potter, Lily Evans Potter, Ghost James Potter, Ghost Lily Evans Potter, Afterlife, Samhain, James Potter & Lily Evans Potter Die, And they watch over Harry","\n      The night she died, Lily woke up with familiar arms holding her.A companion piece to The Wizard\xe2\x80\x99s Nephew.\n",2019-12-31
164,"Happy Christmas, Daddy",CheekyTorah,22050277,31 Dec 2019,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,932",1,3,111,11,2643,"Creator Chose Not To Use Archive Warnings, Neville Longbottom/Theodore Nott, Neville Longbottom, Theodore Nott, Trevor the Toad (Harry Potter), Christmas Eve, Daily Deviant, Herbology Professor Neville Longbottom, Professor Neville Longbottom, Daddy Kink, Daddy!Neville, Dom Neville Longbottom, Dom/sub, Bottoming from the Top, Light Dom/sub, Praise Kink, fluffy if you squint",\n      The greenhouse windows sure look steamy in this winter night.\n,2019-12-31
